Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
trip time mode i[a31,car],48.9584,49.3757,49.8812,50.7096,51.6309,52.3041,52.854,53.3717,53.7455,54.121,54.4602,54.8241,55.0973,55.4826,55.9188,56.2735,56.765,57.092,57.4284,57.8248,58.1569,58.4952,58.8761,59.2775,59.6818,60.1094,60.5632,61.2671,62.0849,62.9214,63.4937
trip time mode i[a32,car],42.6817,42.968,43.3235,44.0374,44.7816,45.3488,45.8421,46.2997,46.6614,47.0865,47.5245,47.9345,48.309,48.772,49.2176,49.7033,50.2807,50.7166,51.1202,51.5989,52.0358,52.454,52.9269,53.433,53.9511,54.487,55.0703,55.9328,56.9385,57.9525,58.9787
trip time mode i[a33,car],43.5605,43.8879,44.2771,45.075,45.9066,46.5449,47.1126,47.6394,48.0598,48.5443,49.052,49.5219,49.9462,50.4764,51.0417,51.553,52.2808,52.8422,53.4202,54.0864,54.6779,55.2895,55.9851,56.723,57.4495,58.2074,59.048,60.2406,61.618,63.0101,64.5127
trip time mode i[a34,car],48.5355,48.9502,49.4551,50.379,51.3621,52.115,52.7638,53.3656,53.84,54.3646,54.8778,55.3575,55.7833,56.3212,56.8752,57.3936,58.1248,58.6533,59.2303,59.8669,60.4504,61.0612,61.7494,62.4648,63.1871,63.9689,64.8304,66.0225,67.3465,68.745,69.8982
trip time mode i[a35,car],44.308,44.5892,44.9815,45.7931,46.6389,47.2679,47.8368,48.336,48.7489,49.2587,49.8028,50.3024,50.7683,51.3515,51.9862,52.545,53.2843,53.8731,54.4837,55.2242,55.876,56.5481,57.3299,58.1711,59.0448,59.9051,60.8338,62.1234,63.6205,65.154,66.796
trip time mode i[a36,car],45.1088,45.4722,45.9193,46.7712,47.6972,48.4005,49.0024,49.587,50.05,50.598,51.1289,51.574,51.867,52.5248,53.111,53.6432,54.3676,54.8835,55.4114,56.0515,56.5961,57.1513,57.7768,58.4455,59.1283,59.8522,60.6463,61.7366,62.988,64.3011,65.6955
trip time mode i[a37,car],45.5084,45.8446,46.3718,47.297,48.2901,49.0371,49.6992,50.291,50.7715,51.3225,51.8949,52.3986,52.8763,53.4951,54.1766,54.8041,55.6897,56.3799,57.1028,57.5629,58.5057,59.0773,60.0428,60.8192,61.7105,62.692,63.7736,64.9769,66.3057,67.7448,69.3245
trip time mode i[a38,car],43.2435,43.5324,43.8653,44.5386,45.2558,45.7887,46.256,46.6845,47.0358,47.4593,47.8649,48.1889,48.5493,48.8877,49.3522,49.7182,50.2414,50.6266,51.0192,51.4898,51.9031,52.3261,52.7893,53.281,53.7805,54.3141,54.8967,55.749,56.7485,57.7872,58.9012
trip time mode i[a39,car],42.1096,42.4197,42.7744,43.5485,44.373,45.0031,45.5742,46.1081,46.5434,47.0609,47.5851,48.0261,48.4452,48.987,49.5948,50.0976,50.8078,51.3145,51.8664,52.4942,53.0655,53.605,54.2535,54.958,55.6832,56.4642,57.3299,58.5213,59.8564,61.2245,62.695
trip time mode i[a40,car],42.6216,42.9197,43.3674,44.1314,44.9561,45.5662,46.1006,46.5928,46.9877,47.4329,47.8996,48.302,48.6802,49.1773,49.7265,50.21,50.8931,51.4031,51.8639,52.3976,52.867,53.3493,53.8796,54.4386,55.0325,55.6646,56.342,57.0698,57.8476,58.6268,59.4623
trip time mode i[a41,car],43.1142,43.3735,43.7336,44.5266,45.4023,46.0606,46.6625,47.213,47.6899,48.3076,48.9329,49.4443,49.9323,50.5862,51.2991,51.9143,52.7996,53.4803,54.1698,54.9606,55.7028,56.4677,57.3261,58.2068,58.9907,59.9356,60.9924,62.1541,63.4322,64.8336,66.3889
trip time mode i[a42,car],42.9597,43.3273,43.6869,44.4508,45.2924,45.9194,46.4704,46.9832,47.3962,47.913,48.4128,48.8136,49.1567,49.539,50.1962,50.6342,51.3252,51.8061,52.2898,52.8821,53.3948,53.8992,54.4571,55.0568,55.667,56.3179,57.035,58.0839,59.3062,60.5677,61.8799
